"","stgno","t2d","t2u","t3","tPart","tGFd","tGFu","tSing","tOri","tExt","tThrough","divSIB","divCSIB","divRT","divBC","extProp","oriProp","extPC","oriPC","ext3t","ori3t","extC3t","oriC3t","extGF","oriGF","E2f3","O2f3","ext2f3","ori2f3","samp3t","sampRange"
"1",1,NA,33.84,NA,NA,NA,NA,21.84,81.04,NA,NA,102.88,NA,102.88,NA,0.211668351045323,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,33.84,33.4,20.82,14.58,NA,19.44,8.14,32.74,0.86,80.18,74.72,71.9902118972885,121.92,81.04,0.0736939018025324,0.334869135642775,0.0106928530689191,0.342298099108944,0.489056126213175,0.475482796713517,0.0814714757499361,NA,-0.125589777715843,NA,-0.0120473487844204,NA,-0.0114803013399554,NA,0.590021635088764,0.411890517525426
"3",3,33.4,54.18,27.3,13.74,22.14,8.42,10.6,36.82,3.2,109.72,95.4,81.0959158449659,160.34,112.92,0.0858445579720023,0.295515390274423,0.0287921146449334,0.289757704940936,0.202042095340087,0.687426433694162,-0.0147012260311737,0.155487619782909,-0.0486137208977791,0.0731938931441421,-0.0194900734784458,0.0712887067393633,-0.0188281750174998,0.0755457742106555,0.667915591050302,0.408457116387437
"4",4,54.18,77.98,36.58,8.84,15.04,8.42,15.52,62.02,5.52,141.02,158.62,111.23750233201,224.08,146.54,0.0938136248456487,0.345731594954803,0.038511655117929,0.36470100482858,0.394572108073217,0.758778420175859,0.135918322518547,0.35119376971262,0.158066861588297,0.362362636159616,0.118328670098952,0.285414848100278,0.127184923798935,0.338638514615508,0.806628770573076,0.535874492953171
"5",5,77.98,79.38,53.28,15.68,7.72,34.02,20.54,43.54,5.86,197.18,161.94,118.351960847712,267.12,203.04,0.0987139134511027,0.239594411434381,0.0292562806343266,0.199555960380194,0.381496051155865,0.399529691323025,-0.0619746067475229,0.182786369951765,-0.0948028557272835,0.215088416013826,-0.00042053689905073,0.117058065124606,-0.000410177532630807,0.125949300890574,0.773066164784729,0.466789188181198
"6",6,79.38,72.94,51.12,28.48,30.06,17.4,13.44,21.22,13.6,227.12,136.46,120.038449375508,275.38,240.72,0.0981021251280613,0.125698785474935,0.05823580145964,0.0893492812927435,0.441433769572048,0.356345834646373,0.12739530103641,0.0976920490917026,0.1069271475666,-0.078364313977298,0.0483470325513044,-0.0314048664821973,0.0506056349384959,-0.0303910657900262,0.643085995841377,0.388405122682971
"7",7,72.94,84.46,40.1,14.68,22.52,18.02,30.02,54.34,23.54,224.8,220.24,170.39101477262,332.7,248.34,0.160790934870587,0.253385721133917,0.0995292078838266,0.216580619968566,0.601634762342678,0.74766635611177,0.12084168209296,0.304195698208382,0.185855984158158,0.250135879669265,0.142696312240384,0.215723230449963,0.155530193191937,0.244967121303907,0.732662818757271,0.500123274515825
"8",8,84.46,90.64,57.5,35.38,12.96,0,17.24,43.82,14.62,264.52,182.58,166.662844823851,340.2,279.14,0.093670209150588,0.179408088371733,0.0538500488487421,0.153259856113027,0.384913951256015,0.456416268036082,NA,0.142377799500445,0.254832480585378,0.174695014306774,0.000779973649538867,0.0306914033119982,0.000790106772710166,0.0317533652781676,0.619299658821649,0.404245826105028
"9",9,90.64,0,0,0,0,100.54,13.28,50.4,17.24,291.1,212.36,NA,372.02,308.34,0.0820142610825739,0.171204015791739,0.0575778424443455,0.159838908238814,NA,NA,NA,NA,-0.102910021738193,NA,0.00236602870813397,NA,0.00245308661867694,NA,NA,0.451608061604018
"10",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
