"","Stage","Occurrences","Genera","GridCells"
"1","Danian",2149,264,49
"2","Selandian",511,115,13
"3","Thanetian",1249,195,43
"4","Ypresian",2795,354,80
"5","Lutetian",3104,369,89
"6","Bartonian",4287,382,57
"7","Priabonian",2738,425,90
"8","Rupelian",4277,413,102
"9","Chattian",2194,375,75
"10","Aquitanian",254,153,18
"11","Burdigalian",6493,657,153
"12","Langhian",1162,253,31
"13","Serravallian",5290,587,103
"14","Tortonian",4051,602,108
"15","Messinian",963,218,28
"16","Zanclean",4754,642,113
"17","Piacenzian",4111,549,58
"18","Gelasian",484,150,10
"19","Clabrian",0,0,0
"20","Chibanian",1,1,1
"21","Late Pleistocene",11,11,2
