"","stgno","t2d","t2u","t3","tPart","tGFd","tGFu","tSing","tOri","tExt","tThrough","divSIB","divCSIB","divRT","divBC","extProp","oriProp","extPC","oriPC","ext3t","ori3t","extC3t","oriC3t","extGF","oriGF","E2f3","O2f3","ext2f3","ori2f3","samp3t","sampRange"
"1",1,NA,74,NA,NA,NA,NA,50,214,NA,NA,264,NA,264,NA,0.189393939393939,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,74,72,59,58,NA,44,12,29,0,214,115,151.583392368123,255,214,0.0470588235294118,0.16078431372549,0,0.127085428318697,0.22652764929845,0.199128675110336,-0.0534323770594203,NA,-0.198602442398092,NA,-0.0681818181818182,NA,-0.0659579677917974,NA,0.504273504273504,0.345794392523364
"3",3,72,142,65,21,78,6,13,52,5,238,195,171.490330630069,308,243,0.0584415584415584,0.211038961038961,0.0207907696690738,0.197610249309045,0.102278849120418,0.781439787705624,0.0101635602126126,0.0968032968135868,0.0108109161042157,-0.00611622701743609,0.010752688172043,0,0.0108109161042157,0,0.755813953488372,0.525210084033613
"4",4,142,233,114,11,21,18,25,133,4,286,354,258.005138391831,448,290,0.0647321428571429,0.352678571428571,0.0138891121606672,0.381879109102285,0.219628609206765,0.714840005171205,0.0148341965607521,0.434879978813334,0.0675932911325283,0.513561603584865,0.065359477124183,0.381147540983607,0.0675932911325283,0.479888388478277,0.912,0.671328671328671
"5",5,233,236,176,40,15,51,19,87,17,402,369,301.014475698974,525,419,0.0685714285714286,0.201904761904762,0.0414188313031166,0.195910400855851,0.280554458527549,0.293347809987458,0.0323141181270646,0.201232521079653,0.0222231367847103,0.177983155195356,0.021978021978022,0.0833333333333333,0.0222231367847103,0.0870113769896299,0.814814814814815,0.611940298507463
"6",6,236,236,181,51,47,43,30,59,25,464,382,325.456316368136,578,489,0.0951557093425606,0.153979238754325,0.0524779372486168,0.119696911838668,0.265334773759784,0.265334773759784,0.00837460006630514,0.060540361113771,0.0427111180930499,0.0282704339382555,0.0278745644599303,0.0278745644599303,0.0282704339382555,0.0282704339382555,0.780172413793103,0.577586206896552
"7",7,236,240,157,46,47,31,22,71,50,473,425,365.262634550663,616,523,0.116883116883117,0.150974025974026,0.10048607557299,0.13985385836401,0.407585999677302,0.424393117993683,0.217542396789437,0.176152777593199,0.186585955580412,0.134530892957606,0.124113475177305,0.115384615384615,0.132518734310136,0.122602322092332,0.773399014778325,0.596194503171247
"8",8,240,253,172,36,33,10,8,82,25,519,413,331.974611556819,634,544,0.0520504731861199,0.141955835962145,0.0470453636900539,0.146691051369319,0.333144446528538,0.385895011914067,0.175515502324955,0.128934838220588,0.235905802928061,0.181629754621777,0.108695652173913,0.14878892733564,0.115069329784787,0.161095152180069,0.826923076923077,0.574181117533719
"9",9,253,96,82,14,8,220,5,55,18,583,375,291.815650533299,661,601,0.0347957639939486,0.0907715582450832,0.0304077481847152,0.0901510969942974,1.12667024146327,0.157628944203583,-0.0794279621749823,-0.0324146586842819,-0.168493555186663,0.0560894666510436,0,0.0181818181818182,0,0.0183491386681966,0.854166666666667,0.509433962264151
"10",10,96,133,94,220,90,12,7,24,0,638,153,339.713774704344,669,638,0.0104633781763827,0.0463378176382661,0,0.0369272725922184,0.0210534091978323,0.34705434595175,0.00744775714205366,0.189425401748167,-0.0311551677797956,-0.134946821027853,-0.0316455696202532,-0.144475920679887,-0.0311551677797955,-0.134946821027853,0.299363057324841,0.191222570532915
